0	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000
3750	0.339838	0.335422	0.331572	0.328081	0.324851	0.321826	0.318968	0.316253	0.313662	0.31118	0.308795	0.306499	0.304284	0.302144	0.300071	0.298063	0.296113	0.29422	0.292378	0.290586
3800	0.340491	0.336706	0.333377	0.330349	0.327539	0.3249	0.322401	0.320021	0.317744	0.315558	0.313452	0.31142	0.309455	0.307552	0.305705	0.303911	0.302166	0.300468	0.298813	0.297198
3850	0.340975	0.337738	0.334856	0.332223	0.329773	0.327468	0.32528	0.323192	0.32119	0.319264	0.317406	0.315609	0.313868	0.312179	0.310536	0.308938	0.307381	0.305863	0.30438	0.302932
3900	0.341307	0.338556	0.336062	0.333769	0.33163	0.329611	0.327692	0.325858	0.324096	0.322398	0.320758	0.319169	0.317627	0.316128	0.314669	0.313247	0.31186	0.310505	0.30918	0.307885
3950	0.3415	0.339189	0.337035	0.335039	0.333167	0.331398	0.329712	0.328097	0.326544	0.325046	0.323596	0.32219	0.320824	0.319494	0.318198	0.316934	0.315698	0.31449	0.313308	0.312149
4000	0.341561	0.339657	0.337807	0.336071	0.334435	0.332881	0.331398	0.329975	0.328605	0.327281	0.325998	0.324752	0.32354	0.32236	0.321208	0.320083	0.318982	0.317905	0.31685	0.315815
4050	0.341494	0.339977	0.338402	0.336898	0.335469	0.334106	0.332801	0.331546	0.330335	0.329163	0.328027	0.326922	0.325846	0.324797	0.323772	0.32277	0.321789	0.320828	0.319886	0.318962
4100	0.3413	0.340157	0.338838	0.337545	0.336301	0.335107	0.333959	0.332852	0.331782	0.330744	0.329736	0.328755	0.327799	0.326866	0.325953	0.32506	0.324185	0.323327	0.322486	0.321659
4150	0.340977	0.340205	0.339128	0.338029	0.336954	0.335912	0.334905	0.33393	0.332984	0.332065	0.331171	0.3303	0.329449	0.328618	0.327804	0.327008	0.326227	0.32546	0.324708	0.323968
4200	0.340521	0.340123	0.339281	0.338364	0.337444	0.336542	0.335662	0.334805	0.333971	0.333159	0.332366	0.331592	0.330836	0.330096	0.329371	0.328659	0.327962	0.327276	0.326603	0.325941
4250	0.339925	0.339914	0.339301	0.338559	0.337786	0.337012	0.336249	0.335501	0.334768	0.334052	0.333351	0.332665	0.331993	0.331334	0.330687	0.330053	0.32943	0.328817	0.328214	0.327621
4300	0.339184	0.339575	0.339193	0.338621	0.337988	0.337336	0.336682	0.336034	0.335395	0.334766	0.334148	0.333541	0.332946	0.33236	0.331785	0.33122	0.330663	0.330115	0.329576	0.329045
4350	0.338288	0.339103	0.338956	0.338554	0.338057	0.337521	0.336971	0.336417	0.335864	0.335317	0.334776	0.334242	0.333716	0.333198	0.332688	0.332184	0.331689	0.3312	0.330718	0.330243
4400	0.337227	0.338493	0.338589	0.338358	0.337996	0.337574	0.337123	0.336658	0.336188	0.335717	0.335248	0.334782	0.334321	0.333865	0.333414	0.332968	0.332528	0.332093	0.331664	0.331239
4450	0.335992	0.337739	0.338089	0.338032	0.337806	0.337497	0.337144	0.336766	0.336375	0.335977	0.335576	0.335174	0.334773	0.334375	0.333979	0.333587	0.333198	0.332813	0.332432	0.332054
4500	0.334572	0.336835	0.337452	0.337576	0.337488	0.337292	0.337035	0.336743	0.336429	0.336101	0.335766	0.335425	0.335082	0.334738	0.334395	0.334053	0.333712	0.333373	0.333037	0.332703
4550	0.332956	0.335773	0.336672	0.336985	0.337039	0.336958	0.336799	0.336592	0.336354	0.336096	0.335824	0.335542	0.335255	0.334964	0.334671	0.334376	0.334081	0.333786	0.333492	0.333199
4600	0.331134	0.334545	0.335744	0.336254	0.336456	0.336494	0.336434	0.336313	0.336152	0.335962	0.335753	0.33553	0.335297	0.335057	0.334812	0.334563	0.334312	0.334059	0.333806	0.333552
4650	0.329097	0.333142	0.33466	0.33538	0.335736	0.335896	0.335939	0.335906	0.335821	0.335701	0.335555	0.33539	0.335211	0.335021	0.334823	0.334619	0.334411	0.334199	0.333984	0.333768
4700	0.326834	0.331556	0.333414	0.334355	0.334874	0.335162	0.33531	0.335368	0.335362	0.335312	0.33523	0.335123	0.334997	0.334858	0.334707	0.334547	0.334381	0.334209	0.334032	0.333853
4750	0.324339	0.329779	0.331998	0.333173	0.333863	0.334286	0.334545	0.334696	0.334772	0.334794	0.334776	0.334729	0.334658	0.334568	0.334465	0.334349	0.334225	0.334092	0.333953	0.33381
4800	0.321606	0.327803	0.330406	0.331829	0.3327	0.333264	0.333638	0.333886	0.334047	0.334144	0.334193	0.334206	0.33419	0.334152	0.334096	0.334025	0.333943	0.33385	0.333749	0.333641
4850	0.318633	0.325622	0.32863	0.330315	0.331377	0.33209	0.332585	0.332936	0.333184	0.333358	0.333477	0.333552	0.333593	0.333608	0.3336	0.333575	0.333535	0.333482	0.333419	0.333347
4900	0.31542	0.323231	0.326664	0.328626	0.32989	0.330759	0.331382	0.331839	0.332179	0.332434	0.332624	0.332764	0.332865	0.332933	0.332975	0.332996	0.333	0.332988	0.332963	0.332928
4950	0.311968	0.320626	0.324504	0.326757	0.328232	0.329265	0.330022	0.330591	0.331028	0.331367	0.331632	0.331839	0.332001	0.332125	0.332219	0.332288	0.332336	0.332366	0.332381	0.332383
5000	0.308287	0.317806	0.322145	0.324701	0.326398	0.327605	0.328501	0.329188	0.329726	0.330153	0.330496	0.330774	0.330998	0.331181	0.331328	0.331446	0.33154	0.331613	0.331669	0.331709
5050	0.304388	0.314771	0.319585	0.322457	0.324385	0.325772	0.326816	0.327626	0.328269	0.328788	0.329213	0.329563	0.329854	0.330096	0.330299	0.330469	0.330611	0.330728	0.330826	0.330905
5100	0.300286	0.311525	0.316823	0.32002	0.322189	0.323764	0.324961	0.325899	0.326653	0.327268	0.327778	0.328204	0.328564	0.328869	0.32913	0.329353	0.329544	0.329708	0.329848	0.329969
5150	0.296003	0.308075	0.313861	0.317392	0.319808	0.321578	0.322933	0.324006	0.324874	0.325589	0.326187	0.326693	0.327125	0.327495	0.327816	0.328094	0.328337	0.328549	0.328734	0.328897
5200	0.291564	0.30443	0.310703	0.314571	0.317241	0.319211	0.320731	0.321942	0.322929	0.323748	0.324439	0.325027	0.325533	0.325972	0.326354	0.32669	0.326986	0.327248	0.32748	0.327687
5250	0.287002	0.300605	0.307356	0.311563	0.31449	0.316665	0.318354	0.319707	0.320816	0.321743	0.322529	0.323203	0.323786	0.324295	0.324743	0.325138	0.32549	0.325803	0.326083	0.326335
5300	0.28235	0.296616	0.303829	0.308372	0.311557	0.31394	0.315801	0.317299	0.318535	0.319573	0.320457	0.321219	0.321882	0.322464	0.322978	0.323436	0.323844	0.324211	0.324542	0.32484
5350	0.277647	0.292486	0.300136	0.305007	0.308449	0.31104	0.313074	0.314721	0.316086	0.317237	0.318222	0.319074	0.31982	0.320477	0.32106	0.321581	0.322049	0.32247	0.322853	0.3232
5400	0.272935	0.288239	0.296292	0.301478	0.305172	0.30797	0.310178	0.311975	0.31347	0.314736	0.315823	0.316768	0.317598	0.318332	0.318986	0.319572	0.320101	0.32058	0.321015	0.321412
5450	0.268257	0.283903	0.292318	0.2978	0.301737	0.304738	0.307119	0.309065	0.31069	0.312072	0.313264	0.314303	0.315218	0.316031	0.316757	0.31741	0.318001	0.318538	0.319028	0.319476
5500	0.263654	0.27951	0.288235	0.29399	0.298157	0.301354	0.303904	0.305997	0.307753	0.309251	0.310547	0.311681	0.312682	0.313574	0.314374	0.315095	0.315749	0.316346	0.316891	0.317392
